BB_Account_Sequence__c,BB_KB_Cancellation__c,BB_Last_Access_Date__c,BB_Stats__c
8625966-0,TRUE,2023-02-10T10:42:00Z,Review:10  BId:1  Tmins:1 PageViews:1
8628216-0,TRUE,2023-04-13T15:48:00Z,Review:20  BId:2  Tmins:10 PageViews:8
8633566-0,TRUE,2023-05-04T11:26:00Z,Review:5  BId:0  Tmins:6 PageViews:0
8638827-0,TRUE,2023-04-24T10:28:00Z,Review:70  BId:2  Tmins:4 PageViews:0
8639291-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8640498-0,TRUE,,Review:7  BId:1  Tmins: PageViews:
8642094-0,TRUE,,Review:24  BId:1  Tmins: PageViews:
8643999-0,TRUE,2023-03-30T16:35:00Z,Review:1  BId:0  Tmins:3 PageViews:3
8649213-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
8652724-0,TRUE,2023-05-05T12:27:00Z,Review:18  BId:1  Tmins:22 PageViews:13
8652725-0,TRUE,2023-05-08T13:02:00Z,Review:3  BId:3  Tmins:10 PageViews:0
8662888-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
8665719-0,TRUE,2023-04-13T07:36:00Z,Review:9  BId:10  Tmins:9 PageViews:1
8667241-0,TRUE,2023-04-19T09:16:00Z,Review:6  BId:0  Tmins:2 PageViews:1
8669664-0,TRUE,,Review:9  BId:3  Tmins: PageViews:
8670843-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
8890249-0,TRUE,,Review:8  BId:2  Tmins: PageViews:
8891436-0,TRUE,2023-03-22T14:46:00Z,Review:16  BId:1  Tmins:7 PageViews:3
8919640-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
8924465-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
8928838-0,TRUE,,Review:0  BId:1  Tmins: PageViews:
8929313-0,TRUE,2023-03-13T13:42:00Z,Review:13  BId:2  Tmins:2 PageViews:2
8929322-0,TRUE,,Review:8  BId:5  Tmins: PageViews:
8933985-0,TRUE,,Review:11  BId:11  Tmins: PageViews:
19503-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
178040-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
196335-0,TRUE,2023-04-20T07:42:00Z,Review:25  BId:0  Tmins:39 PageViews:14
263245-0,TRUE,2023-03-13T12:48:00Z,Review:2  BId:3  Tmins:1 PageViews:0
287457-0,TRUE,2023-01-19T09:43:00Z,Review:5  BId:0  Tmins:2 PageViews:1
467777-0,TRUE,,Review:8  BId:1  Tmins: PageViews:
792906-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
794394-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
814265-0,TRUE,2023-02-02T16:40:00Z,Review:0  BId:3  Tmins:2 PageViews:1
821811-0,TRUE,2023-05-10T13:34:00Z,Review:6  BId:0  Tmins:2 PageViews:0
870599-0,TRUE,,Review:2  BId:1  Tmins: PageViews:
872801-0,TRUE,2023-04-19T13:52:00Z,Review:9  BId:3  Tmins:11 PageViews:7
1536727-0,TRUE,2023-04-13T11:56:00Z,Review:5  BId:2  Tmins:23 PageViews:3
1992176-0,TRUE,2023-04-28T13:02:00Z,Review:49  BId:4  Tmins:81 PageViews:33
2115664-0,TRUE,,Review:12  BId:0  Tmins: PageViews:
4232099-0,TRUE,2023-04-25T23:09:00Z,Review:12  BId:1  Tmins:56 PageViews:27
