Id,Amendment_Type__c,SBQQ__AmendmentStartDate__c
800Do000000xFlAIAU,Cancellation,11/1/2022
800Do000000xG7TIAU,Cancellation,11/1/2022
800Do000000xGHiIAM,Cancellation,11/1/2022
800Do000000xGMVIA2,Cancellation,11/1/2022
800Do000000xGfXIAU,Cancellation,11/1/2022
800Do000000xGfdIAE,Cancellation,11/1/2022
800Do000000xGfiIAE,Cancellation,11/1/2022
800Do000000xGfoIAE,Cancellation,11/1/2022
800Do000000xH5PIAU,Cancellation,11/1/2022
800Do000000xHVRIA2,Cancellation,11/1/2022
800Do000000xHl1IAE,Cancellation,11/1/2022
800Do000000xHmRIAU,Cancellation,11/1/2022
800Do000000xHmqIAE,Cancellation,11/1/2022
800Do000000xHqAIAU,Cancellation,11/1/2022
800Do000000xHwcIAE,Cancellation,11/1/2022
800Do000000xHxDIAU,Cancellation,11/1/2022
800Do000000xI1IIAU,Cancellation,11/1/2022
800Do000000x96wIAA,Cancellation,11/1/2022
800Do000000x9D5IAI,Cancellation,11/1/2022
800Do000000x9EvIAI,Cancellation,11/1/2022
800Do000000x9fOIAQ,Cancellation,11/1/2022
800Do000000x9uyIAA,Cancellation,11/1/2022
800Do000000xADOIA2,Cancellation,11/1/2022
800Do000000xAJxIAM,Cancellation,11/1/2022
800Do000000xAihIAE,Cancellation,11/1/2022
800Do000000xAlBIAU,Cancellation,11/1/2022
800Do000000xAvAIAU,Cancellation,11/1/2022
800Do000000xBD6IAM,Cancellation,11/1/2022
800Do000000xBFtIAM,Cancellation,11/1/2022
800Do000000xBFwIAM,Cancellation,11/1/2022
800Do000000xBNHIA2,Cancellation,11/1/2022
800Do000000xBTQIA2,Cancellation,11/1/2022
800Do000000xBY5IAM,Cancellation,11/1/2022
800Do000000xBeBIAU,Cancellation,11/1/2022
800Do000000xBqEIAU,Cancellation,11/1/2022
800Do000000xC1TIAU,Cancellation,11/1/2022
800Do000000xC1ZIAU,Cancellation,11/1/2022
800Do000000xC1bIAE,Cancellation,11/1/2022
800Do000000xC1eIAE,Cancellation,11/1/2022
800Do000000xCQgIAM,Cancellation,11/1/2022
800Do000000xCQrIAM,Cancellation,11/1/2022
800Do000000xCRPIA2,Cancellation,11/1/2022
800Do000000xCbFIAU,Cancellation,11/1/2022
800Do000000xCbNIAU,Cancellation,11/1/2022
800Do000000xCylIAE,Cancellation,11/1/2022
800Do000000xDKDIA2,Cancellation,11/1/2022
800Do000000xDSrIAM,Cancellation,11/1/2022
800Do000000xDdvIAE,Cancellation,11/1/2022
800Do000000xEBOIA2,Cancellation,11/1/2022
800Do000000xEBeIAM,Cancellation,11/1/2022
800Do000000xEPAIA2,Cancellation,11/1/2022
800Do000000xEYRIA2,Cancellation,11/1/2022
800Do000000xFSuIAM,Cancellation,11/1/2022
800Do000000xFbEIAU,Cancellation,11/1/2022
800Do000000xFepIAE,Cancellation,11/1/2022
800Do000000xFvXIAU,Cancellation,11/1/2022
800Do000000xG7AIAU,Cancellation,11/1/2022
800Do000000xG98IAE,Cancellation,11/1/2022
800Do000000xGJrIAM,Cancellation,11/1/2022
800Do000000xGL1IAM,Cancellation,11/1/2022
800Do000000xGLlIAM,Cancellation,11/1/2022
800Do000000xGMNIA2,Cancellation,11/1/2022
800Do000000xGMpIAM,Cancellation,11/1/2022
800Do000000xGRoIAM,Cancellation,11/1/2022
