Id,SBQQ__Contract__r.ContractNumber,Is_Subscription_Valid_Text__c,SBQQ__Product__r.Name
a6SDo000000kBGVMA2,7020609,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kBnHMAU,7020609,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBCOMA2,7020610,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kBnIMAU,7020610,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBAKMA2,7020611,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kBnJMAU,7020611,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBIbMAM,7020612,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kBnNMAU,7020612,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBGXMA2,7020613,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kBnOMAU,7020613,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBIcMAM,7020614,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kBnRMAU,7020614,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBCRMA2,7020615,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kBnTMAU,7020615,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBCSMA2,7020616,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kBnXMAU,7020616,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBIeMAM,7020617,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kBnZMAU,7020617,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBAQMA2,7020619,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kBngMAE,7020619,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBGdMAM,7020620,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kBnmMAE,7020620,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBIjMAM,7020621,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kBj8MAE,7020621,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBCZMA2,7020622,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kBjEMAU,7020622,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBAWMA2,7020624,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kBjIMAU,7020624,001-Component:missing Required by or Required by Product<br>,IMS Seats
a6SDo000000kBInMAM,7020625,001-Component:missing Required by or Required by Product<br>,IMS Public Projects
a6SDo000000kBjMMAU,7020625,001-Component:missing Required by or Required by Product<br>,IMS Seats
