Id,BB_Stats__c,Account_Number__c,BB_Last_Sync_Date__c,NS_Invoice_Due_Date__c,BB_Account__c,BB_Account_Sequence__c,Revenue_Account_ID__c,NS_Invoice_Amt_Due__c
0013i000006zImcAAE,484396,,,,484396,484396-0,,0
0013i000006zImeAAE,489373,,,,489373,489373-0,,0
0013i000006zInvAAE,493116,,,,493116,493116-0,,0
0013i000006zInxAAE,270840,,,,270840,270840-0,,0
0013i000006zIo8AAE,559312,,,,559312,559312-0,,0
0013i000006zIoAAAU,540361,,,,540361,540361-0,D00140323,0
0013i000006zIoHAAU,5881558,,,,5881558,5881558-0,,0
0013i000006zIoIAAU,1082637,,,,1082637,1082637-0,,0
0013i000006zIoOAAU,291859,,,,,,,0
0013i000006zIoWAAU,4419793,,,,4419793,4419793-0,,0
0013i000006zIocAAE,362151,,,,362151,362151-0,,0
0013i000006zIodAAE,808837,,,,808837,808837-0,,0
0013i000006zIofAAE,5566926,,,,5566926,5566926-0,,0
0013i000006zIrcAAE,820615,,,,820615,820615-0,,0
0013i000006zIrgAAE,517884,,,,517884,517884-0,,0
0013i000006zIrhAAE,7892101,,,,7892101,7892101-0,,0
0013i000006zIriAAE,3753760,,,,3753760,3753760-0,,0
0013i000006zIrnAAE,837031,,,,837031,837031-0,,0
0013i000006zIsGAAU,267437,,,,267437,267437-0,,0
0013i000006zIsMAAU,7134420,,,,7134420,7134420-0,,0
0013i000006zIt7AAE,545050,,,,545050,545050-0,D00124087,0
0013i000006zItZAAU,555125,,,,555125,555125-0,,0
0013i000006zIu7AAE,3007638,,,,3007638,3007638-0,D00132280,0
0013i000006zIuKAAU,168681,,,,168681,168681-0,,0
0013i000006zIubAAE,507300,,,,507300,507300-0,D00085676,0
0013i000006zJ0yAAE,3782619,,,,3782619,3782619-0,,0
0013i000006zJ17AAE,392034,,,,392034,392034-0,,0
0013i000006zJ5WAAU,1094822,,,,1094822,1094822-0,,0
0013i000006zJ5aAAE,5571036,,,,5571036,5571036-0,,0
0013i000006zJ6KAAU,95795,,,,95795,95795-0,,0
0013i000006zJ6iAAE,4677421,,,,4677421,4677421-0,,0
0013i000006zJ6kAAE,5645396,,,,5645396,5645396-0,,0
