Id,Amendment_Type__c,Auto_Close_Cancellation__c,SBQQ__AmendmentOwner__c
800Do000000xHL5IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHtWIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xDH8IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000x9uiIAA,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xECxIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xEDZIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xEZqIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xApLIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xAN5IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xEhlIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xAXfIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFDpIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xEwcIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFPZIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xAkrIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFQ0IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFGZIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHyoIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xB5IIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFSNIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFk7IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBEwIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFlVIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBFJIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFUKIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFlwIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBhsIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBiBIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFdeIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBHSIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHe0IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHTeIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBtmIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBuHIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xC3NIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFpjIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBd4IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBeMIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xG0QIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCF4IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xG0oIAE,Cancellation,TRUE,0053i000002SxjyAAC
